stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_area
6086,,Palangos AS; 15 aikštelė,,55.91380,21.07904,https://www.stops.lt/klaipeda/index.html#stop/9998,,,3
7026,,Palangos AS; 1 aikštelė,,55.91357,21.07809,https://www.stops.lt/klaipeda/index.html#stop/9994,,,3
7206,,Sodų st.,,55.91455,21.08112,https://www.stops.lt/klaipeda/index.html#stop/9990,,,3
6087,,Palangos oro uostas,,55.97151,21.09785,https://www.stops.lt/klaipeda/index.html#stop/9996,,,3
130,,Jaunystės st.,,55.72696,21.17180,https://www.stops.lt/klaipeda/index.html#stop/0701,,,1
7922,,Kalviškiai,,55.50290,21.33105,https://www.stops.lt/klaipeda/index.html#stop/9124,,,2
7923,,Kalviškiai,,55.50243,21.33162,https://www.stops.lt/klaipeda/index.html#stop/9125,,,2
8070,,Lankupiai,,55.49274,21.34693,https://www.stops.lt/klaipeda/index.html#stop/9126,,,2
8564,,Lankupiai,,55.49263,21.34743,https://www.stops.lt/klaipeda/index.html#stop/9127,,,2
6674,,Mickai,,55.61071,21.27182,https://www.stops.lt/klaipeda/index.html#stop/8925,,,2
6675,,Mickai,,55.61231,21.27110,https://www.stops.lt/klaipeda/index.html#stop/8926,,,2
6672,,Spengiai,,55.61955,21.26556,https://www.stops.lt/klaipeda/index.html#stop/8923,,,2
6673,,Spengiai,,55.62068,21.26522,https://www.stops.lt/klaipeda/index.html#stop/8924,,,2
8003,,Mėželiai,,55.52692,21.31340,https://www.stops.lt/klaipeda/index.html#stop/9120,,,2
8779,,Mėželiai,,55.52628,21.31414,https://www.stops.lt/klaipeda/index.html#stop/9121,,,2
8015,,Venckai,,55.51301,21.32035,https://www.stops.lt/klaipeda/index.html#stop/9122,,,2
8953,,Venckai,,55.51357,21.32009,https://www.stops.lt/klaipeda/index.html#stop/9123,,,2
6679,,Dercekliai,,55.58322,21.28453,https://www.stops.lt/klaipeda/index.html#stop/8930,,,2
7937,,Dercekliai,,55.58083,21.28674,https://www.stops.lt/klaipeda/index.html#stop/8929,,,2
6676,,Dituva,,55.59272,21.28537,https://www.stops.lt/klaipeda/index.html#stop/8927,,,2
6677,,Dituva,,55.59323,21.28566,https://www.stops.lt/klaipeda/index.html#stop/8928,,,2
