block_id,block_code,block_name,vehicle_type,max_capacity
600127,109-01,Transrevis,bus_minibus,23
600126,109-02,Transrevis,bus_minibus,23
653699,110-01,Transrevis,bus_regular,80
572438,110-01,Transrevis,bus_midibus,50
665692,112-01,Transrevis,bus_minibus,23
665693,112-01,Transrevis,bus_minibus,23
636038,115-01,Transrevis,bus_minibus,23
663111,116-01,Transrevis,bus_minibus,23
663112,116-03,Transrevis,bus_minibus,23
663115,116-04,Transrevis,bus_minibus,23
663116,116-05,Transrevis,bus_minibus,23
663117,116-07,Transrevis,bus_minibus,23
663114,116-02,Transrevis,bus_minibus,23
663113,116-06,Transrevis,bus_minibus,23
663118,116-01,Transrevis,bus_minibus,23
663119,116-03,Transrevis,bus_minibus,23
663120,116-02,Transrevis,bus_minibus,23
663121,116-04,Transrevis,bus_minibus,23
663122,116-01,Transrevis,bus_minibus,23
663123,116-03,Transrevis,bus_minibus,23
663124,116-02,Transrevis,bus_minibus,23
663125,116-04,Transrevis,bus_minibus,23
