route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
klaipeda_bus_M6_TOKS,160178,AM6-05-1-251229-ab-1340,Maršrutinis taksi Melnragė,0,642126,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-06-1-251229-ab-1350,Maršrutinis taksi Melnragė,0,642127,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-07-1-251229-ab-1410,Maršrutinis taksi Melnragė,0,642133,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-08-1-251229-ab-1420,Maršrutinis taksi Melnragė,0,642132,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-01-1-251229-ab-1430,Maršrutinis taksi Melnragė,0,642128,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-02-1-251229-ab-1440,Maršrutinis taksi Melnragė,0,642129,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-03-1-251229-ab-1450,Maršrutinis taksi Melnragė,0,642130,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-04-1-251229-ab-1510,Maršrutinis taksi Melnragė,0,642131,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-06-1-251229-ab-1520,Maršrutinis taksi Melnragė,0,642127,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-05-1-251229-ab-1530,Maršrutinis taksi Melnragė,0,642126,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-08-1-251229-ab-1540,Maršrutinis taksi Melnragė,0,642132,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-07-1-251229-ab-1600,Maršrutinis taksi Melnragė,0,642133,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-01-1-251229-ab-1610,Maršrutinis taksi Melnragė,0,642128,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-02-1-251229-ab-1620,Maršrutinis taksi Melnragė,0,642129,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-03-1-251229-ab-1630,Maršrutinis taksi Melnragė,0,642130,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-04-1-251229-ab-1640,Maršrutinis taksi Melnragė,0,642131,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-05-1-251229-ab-1700,Maršrutinis taksi Melnragė,0,642126,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-06-1-251229-ab-1710,Maršrutinis taksi Melnragė,0,642127,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-07-1-251229-ab-1720,Maršrutinis taksi Melnragė,0,642133,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-01-1-251229-ab-1730,Maršrutinis taksi Melnragė,0,642128,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-08-1-251229-ab-1740,Maršrutinis taksi Melnragė,0,642132,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-02-1-251229-ab-1800,Maršrutinis taksi Melnragė,0,642129,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-03-1-251229-ab-1810,Maršrutinis taksi Melnragė,0,642130,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-04-1-251229-ab-1820,Maršrutinis taksi Melnragė,0,642131,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-05-1-251229-ab-1840,Maršrutinis taksi Melnragė,0,642126,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-06-1-251229-ab-1850,Maršrutinis taksi Melnragė,0,642127,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-07-1-251229-ab-1900,Maršrutinis taksi Melnragė,0,642133,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-08-1-251229-ab-1920,Maršrutinis taksi Melnragė,0,642132,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-01-1-251229-ab-1940,Maršrutinis taksi Melnragė,0,642128,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-02-1-251229-ab-2000,Maršrutinis taksi Melnragė,0,642129,klaipeda_bus_M6_a-b,
